text
"On 2015-07-05, the mains power consumption was 141.65084668803422 units, television used 15.899276215277776 units, fan used 12.665533969907408 units, fridge used 49.356105284010056 units, and laptop computer used 17.626762030228758 units. Environmental conditions were: temperature 19.716666666666665°C, dew point 15.2125°C, relative humidity 76.33333333333333%, wind speed 14.25 km/h, and pressure 1016.9458333333332 hPa. Day: Sunday (July), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-11, the mains power consumption was 65.03687037037038 units, television used 0.0 units, fan used 0.0 units, fridge used 31.871762442129647 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 14.620833333333334°C, dew point 10.133333333333333°C, relative humidity 75.45833333333333%, wind speed 14.4 km/h, and pressure 1017.8166666666668 hPa. Day: Friday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-12, the mains power consumption was 57.41652320657032 units, television used 0.0 units, fan used 0.0 units, fridge used 30.070282118055548 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 15.708333333333334°C, dew point 12.620833333333334°C, relative humidity 82.33333333333333%, wind speed 14.65 km/h, and pressure 1011.2 hPa. Day: Saturday (September), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-13, the mains power consumption was 110.86049859412614 units, television used 0.0 units, fan used 0.0 units, fridge used 30.07710485284392 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 16.266666666666666°C, dew point 13.125°C, relative humidity 82.5%, wind speed 16.620833333333334 km/h, and pressure 1004.95625 hPa. Day: Sunday (September), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-14, the mains power consumption was 223.9842200974516 units, television used 14.31263119212963 units, fan used 0.0 units, fridge used 32.474391964285715 units, and laptop computer used 14.350394907407408 units. Environmental conditions were: temperature 14.229166666666666°C, dew point 12.658333333333331°C, relative humidity 90.41666666666669%, wind speed 21.48333333333333 km/h, and pressure 998.8041666666668 hPa. Day: Monday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-15, the mains power consumption was 143.05596874999986 units, television used 6.902288657407409 units, fan used 0.04991863425926 units, fridge used 30.370829259259253 units, and laptop computer used 13.551285648148149 units. Environmental conditions were: temperature 12.195833333333333°C, dew point 9.525°C, relative humidity 84.04166666666667%, wind speed 27.808333333333334 km/h, and pressure 999.3833333333332 hPa. Day: Tuesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-16, the mains power consumption was 162.84738541666667 units, television used 11.087566319444443 units, fan used 0.9446018518518512 units, fridge used 34.1915116550926 units, and laptop computer used 12.61178854166667 units. Environmental conditions were: temperature 14.779166666666669°C, dew point 13.270833333333334°C, relative humidity 90.83333333333331%, wind speed 20.1 km/h, and pressure 991.7208333333332 hPa. Day: Wednesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-17, the mains power consumption was 81.22230208333333 units, television used 0.0 units, fan used 1.3944607060185177 units, fridge used 32.27348327546295 units, and laptop computer used 0.7381932870370367 units. Environmental conditions were: temperature 14.116666666666667°C, dew point 12.65°C, relative humidity 91.0%, wind speed 19.95 km/h, and pressure 997.725 hPa. Day: Thursday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-18, the mains power consumption was 62.43707754629632 units, television used 0.0 units, fan used 0.0 units, fridge used 28.52099328703704 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 13.575°C, dew point 11.608333333333333°C, relative humidity 88.5%, wind speed 15.991666666666667 km/h, and pressure 1012.5083333333332 hPa. Day: Friday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-19, the mains power consumption was 108.12971064814816 units, television used 0.0 units, fan used 0.0 units, fridge used 28.458121194815536 units, and laptop computer used 1.737292174358124 units. Environmental conditions were: temperature 13.708333333333334°C, dew point 11.070833333333333°C, relative humidity 85.16666666666667%, wind speed 11.4 km/h, and pressure 1021.7041666666668 hPa. Day: Saturday (September), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-20, the mains power consumption was 180.2696064814816 units, television used 8.84032650462963 units, fan used 0.3805461226851832 units, fridge used 35.0852282843512 units, and laptop computer used 15.26894150619743 units. Environmental conditions were: temperature 13.9125°C, dew point 11.3°C, relative humidity 85.08333333333333%, wind speed 15.183333333333334 km/h, and pressure 1023.6708333333332 hPa. Day: Sunday (September), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-21, the mains power consumption was 154.91820601851845 units, television used 8.05987980324074 units, fan used 2.118586574074075 units, fridge used 35.23575069444443 units, and laptop computer used 8.379772453703705 units. Environmental conditions were: temperature 14.608333333333333°C, dew point 11.983333333333333°C, relative humidity 85.41666666666667%, wind speed 19.5 km/h, and pressure 1013.05 hPa. Day: Monday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-22, the mains power consumption was 135.23671296296294 units, television used 0.0 units, fan used 2.1493956597222224 units, fridge used 32.88687083333332 units, and laptop computer used 8.69543153935185 units. Environmental conditions were: temperature 12.720833333333331°C, dew point 11.483333333333333°C, relative humidity 92.66666666666669%, wind speed 11.408333333333331 km/h, and pressure 1000.4333333333332 hPa. Day: Tuesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-23, the mains power consumption was 172.27932291666667 units, television used 1.296265914351852 units, fan used 0.03348431712963 units, fridge used 33.063561631944445 units, and laptop computer used 16.682404166666664 units. Environmental conditions were: temperature 13.241666666666667°C, dew point 11.666666666666666°C, relative humidity 90.5%, wind speed 12.25 km/h, and pressure 1007.8291666666668 hPa. Day: Wednesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-24, the mains power consumption was 102.98245370370373 units, television used 0.2725078703703704 units, fan used 2.567033449074074 units, fridge used 31.58684914990424 units, and laptop computer used 6.459821284722223 units. Environmental conditions were: temperature 13.0°C, dew point 12.104166666666666°C, relative humidity 94.41666666666669%, wind speed 19.05 km/h, and pressure 1014.4375 hPa. Day: Thursday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-25, the mains power consumption was 89.21320601851852 units, television used 0.0 units, fan used 0.150977662037037 units, fridge used 29.87907602370685 units, and laptop computer used 5.781554583333333 units. Environmental conditions were: temperature 12.620833333333334°C, dew point 10.229166666666666°C, relative humidity 86.29166666666667%, wind speed 10.583333333333334 km/h, and pressure 1021.6208333333332 hPa. Day: Friday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-26, the mains power consumption was 112.31013310185178 units, television used 0.0 units, fan used 0.0652840277777777 units, fridge used 30.173594212962943 units, and laptop computer used 16.07895578703704 units. Environmental conditions were: temperature 11.741666666666667°C, dew point 8.725°C, relative humidity 83.25%, wind speed 7.533333333333333 km/h, and pressure 1028.35 hPa. Day: Saturday (September), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-27, the mains power consumption was 108.72214699074073 units, television used 2.847285821759259 units, fan used 0.0 units, fridge used 28.863609375 units, and laptop computer used 9.903494083605668 units. Environmental conditions were: temperature 12.295833333333333°C, dew point 9.170833333333333°C, relative humidity 83.0%, wind speed 10.05 km/h, and pressure 1034.4333333333334 hPa. Day: Sunday (September), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-09-28, the mains power consumption was 101.0944050925926 units, television used 0.0 units, fan used 0.1456493055555554 units, fridge used 31.130514872685207 units, and laptop computer used 10.44842165713508 units. Environmental conditions were: temperature 12.358333333333333°C, dew point 9.708333333333334°C, relative humidity 85.0%, wind speed 11.85 km/h, and pressure 1037.7791666666667 hPa. Day: Monday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-29, the mains power consumption was 76.23390740740741 units, television used 0.0 units, fan used 0.1253339699074074 units, fridge used 29.033408564814817 units, and laptop computer used 9.087525694444444 units. Environmental conditions were: temperature 12.5375°C, dew point 8.241666666666667°C, relative humidity 76.33333333333333%, wind speed 18.0 km/h, and pressure 1036.7375 hPa. Day: Tuesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-09-30, the mains power consumption was 76.10409837962963 units, television used 1.3836138310185189 units, fan used 0.0589539930555561 units, fridge used 29.399874338348784 units, and laptop computer used 7.770312326388888 units. Environmental conditions were: temperature 13.058333333333334°C, dew point 8.429166666666667°C, relative humidity 74.25%, wind speed 19.05 km/h, and pressure 1035.0291666666667 hPa. Day: Wednesday (September), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-01, the mains power consumption was 88.82302893518523 units, television used 0.0 units, fan used 0.0560931712962959 units, fridge used 29.5267544232253 units, and laptop computer used 7.718728530092592 units. Environmental conditions were: temperature 12.1125°C, dew point 8.308333333333334°C, relative humidity 78.83333333333333%, wind speed 14.941666666666666 km/h, and pressure 1031.9208333333331 hPa. Day: Thursday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-02, the mains power consumption was 79.01603472222222 units, television used 0.0 units, fan used 0.0 units, fridge used 29.93118321759258 units, and laptop computer used 7.687484259259259 units. Environmental conditions were: temperature 11.6625°C, dew point 8.270833333333334°C, relative humidity 81.54166666666667%, wind speed 12.9 km/h, and pressure 1024.8875 hPa. Day: Friday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-03, the mains power consumption was 118.36347916666662 units, television used 0.0 units, fan used 0.0 units, fridge used 29.549169270833342 units, and laptop computer used 10.061668576388888 units. Environmental conditions were: temperature 11.8375°C, dew point 9.325°C, relative humidity 85.5%, wind speed 8.25 km/h, and pressure 1014.8416666666668 hPa. Day: Saturday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-10-04, the mains power consumption was 108.5697048611111 units, television used 2.651758854166665 units, fan used 0.1703766203703688 units, fridge used 29.325614988425883 units, and laptop computer used 18.724482118055555 units. Environmental conditions were: temperature 11.2°C, dew point 9.8625°C, relative humidity 92.375%, wind speed 8.55 km/h, and pressure 1014.8541666666666 hPa. Day: Sunday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-10-05, the mains power consumption was 73.64831597222224 units, television used 0.0 units, fan used 0.1052237847222222 units, fridge used 28.458580219907425 units, and laptop computer used 7.194842534722222 units. Environmental conditions were: temperature 12.904166666666669°C, dew point 11.154166666666669°C, relative humidity 89.58333333333333%, wind speed 13.35 km/h, and pressure 1010.1166666666668 hPa. Day: Monday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-06, the mains power consumption was 76.01629050925926 units, television used 0.0 units, fan used 0.0689642361111108 units, fridge used 30.13394697916668 units, and laptop computer used 9.974549189814816 units. Environmental conditions were: temperature 15.4875°C, dew point 14.491666666666667°C, relative humidity 94.0%, wind speed 12.15 km/h, and pressure 1001.8416666666668 hPa. Day: Tuesday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-07, the mains power consumption was 85.29262731481482 units, television used 0.0 units, fan used 0.0 units, fridge used 29.49331174768521 units, and laptop computer used 7.967095920138888 units. Environmental conditions were: temperature 14.8625°C, dew point 13.983333333333333°C, relative humidity 94.54166666666669%, wind speed 17.4 km/h, and pressure 1008.0875 hPa. Day: Wednesday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-08, the mains power consumption was 79.06171874999998 units, television used 0.0 units, fan used 0.0799547453703704 units, fridge used 28.35532129629629 units, and laptop computer used 7.508605179398145 units. Environmental conditions were: temperature 13.458333333333334°C, dew point 11.241666666666667°C, relative humidity 86.79166666666667%, wind speed 11.4 km/h, and pressure 1019.0583333333332 hPa. Day: Thursday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-09, the mains power consumption was 79.86358217592593 units, television used 0.0 units, fan used 0.0 units, fridge used 26.970958159722173 units, and laptop computer used 4.285313946759258 units. Environmental conditions were: temperature 12.033333333333331°C, dew point 9.9°C, relative humidity 87.875%, wind speed 6.0 km/h, and pressure 1022.35 hPa. Day: Friday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-10, the mains power consumption was 99.45780092592584 units, television used 4.825097858796296 units, fan used 0.0 units, fridge used 28.07769673032405 units, and laptop computer used 14.336839330150465 units. Environmental conditions were: temperature 11.816666666666666°C, dew point 8.616666666666667°C, relative humidity 81.45833333333333%, wind speed 16.95 km/h, and pressure 1021.0 hPa. Day: Saturday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-10-11, the mains power consumption was 142.6202951388889 units, television used 6.9526365740740745 units, fan used 0.0672633680555556 units, fridge used 30.94452421874998 units, and laptop computer used 15.686674327256949 units. Environmental conditions were: temperature 7.366666666666666°C, dew point 1.975°C, relative humidity 69.58333333333333%, wind speed 19.35 km/h, and pressure 1018.9291666666668 hPa. Day: Sunday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-10-12, the mains power consumption was 81.40553819444445 units, television used 0.0 units, fan used 0.0360153935185185 units, fridge used 30.22425474537037 units, and laptop computer used 1.5261767939814814 units. Environmental conditions were: temperature 5.383333333333334°C, dew point 1.95°C, relative humidity 79.08333333333333%, wind speed 12.0 km/h, and pressure 1018.7416666666668 hPa. Day: Monday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-13, the mains power consumption was 95.33450925925922 units, television used 0.0 units, fan used 0.0724825231481481 units, fridge used 26.35347824074072 units, and laptop computer used 8.56820167824074 units. Environmental conditions were: temperature 6.379166666666666°C, dew point 2.825°C, relative humidity 78.29166666666667%, wind speed 19.8 km/h, and pressure 1020.3625 hPa. Day: Tuesday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-14, the mains power consumption was 110.92377430555553 units, television used 0.0 units, fan used 0.0 units, fridge used 30.54448096064815 units, and laptop computer used 4.384749826388887 units. Environmental conditions were: temperature 6.616666666666666°C, dew point 5.0125°C, relative humidity 89.58333333333333%, wind speed 13.95 km/h, and pressure 1020.2166666666668 hPa. Day: Wednesday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-15, the mains power consumption was 95.59945949074071 units, television used 0.0 units, fan used 0.0684918981481478 units, fridge used 30.151243807870383 units, and laptop computer used 3.409557812500001 units. Environmental conditions were: temperature 7.0625°C, dew point 5.8°C, relative humidity 91.75%, wind speed 9.0 km/h, and pressure 1019.1041666666666 hPa. Day: Thursday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-16, the mains power consumption was 73.73671064814815 units, television used 0.0 units, fan used 0.0 units, fridge used 27.52784861111112 units, and laptop computer used 1.0569627314814818 units. Environmental conditions were: temperature 8.341666666666667°C, dew point 7.675°C, relative humidity 95.625%, wind speed 9.75 km/h, and pressure 1018.1541666666668 hPa. Day: Friday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-17, the mains power consumption was 70.62920717592591 units, television used 0.0 units, fan used 0.0443505208333336 units, fridge used 25.68261892361116 units, and laptop computer used 1.5956903935185185 units. Environmental conditions were: temperature 9.091666666666669°C, dew point 8.808333333333334°C, relative humidity 97.95833333333331%, wind speed 7.5 km/h, and pressure 1017.5041666666668 hPa. Day: Saturday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-10-18, the mains power consumption was 175.69915162036958 units, television used 0.0 units, fan used 0.0771712384259259 units, fridge used 30.780084259259283 units, and laptop computer used 14.675716493055557 units. Environmental conditions were: temperature 8.95°C, dew point 8.420833333333333°C, relative humidity 96.58333333333331%, wind speed 7.441666666666666 km/h, and pressure 1019.5708333333332 hPa. Day: Sunday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-10-19, the mains power consumption was 95.56947916666664 units, television used 0.0 units, fan used 0.1157459490740757 units, fridge used 30.618572106481487 units, and laptop computer used 9.657308217592592 units. Environmental conditions were: temperature 11.120833333333334°C, dew point 9.916666666666666°C, relative humidity 92.58333333333331%, wind speed 7.8 km/h, and pressure 1022.5291666666668 hPa. Day: Monday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-20, the mains power consumption was 107.34699537037038 units, television used 0.0 units, fan used 0.0 units, fridge used 32.66996718749999 units, and laptop computer used 10.15724837962963 units. Environmental conditions were: temperature 9.741666666666667°C, dew point 8.5625°C, relative humidity 92.79166666666669%, wind speed 7.491666666666666 km/h, and pressure 1023.7416666666668 hPa. Day: Tuesday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-21, the mains power consumption was 112.50522916666668 units, television used 3.20802488425926 units, fan used 0.348609722222222 units, fridge used 31.45049351851849 units, and laptop computer used 10.383112210648148 units. Environmental conditions were: temperature 9.991666666666667°C, dew point 9.316666666666666°C, relative humidity 95.75%, wind speed 18.9 km/h, and pressure 1017.4958333333332 hPa. Day: Wednesday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-22, the mains power consumption was 92.3229421296296 units, television used 0.0 units, fan used 0.014237037037037 units, fridge used 30.15760665509263 units, and laptop computer used 7.72649403935186 units. Environmental conditions were: temperature 12.216666666666669°C, dew point 10.366666666666667°C, relative humidity 89.0%, wind speed 17.55 km/h, and pressure 1014.6041666666666 hPa. Day: Thursday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-23, the mains power consumption was 101.25126620370372 units, television used 0.0574930555555559 units, fan used 0.1871381365740743 units, fridge used 29.86134212962962 units, and laptop computer used 9.56462112268519 units. Environmental conditions were: temperature 11.383333333333333°C, dew point 8.229166666666666°C, relative humidity 81.70833333333333%, wind speed 11.4 km/h, and pressure 1021.9375 hPa. Day: Friday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-24, the mains power consumption was 134.63839467592592 units, television used 0.0 units, fan used 0.0489398148148148 units, fridge used 30.76119120370372 units, and laptop computer used 19.025254571759262 units. Environmental conditions were: temperature 11.708333333333334°C, dew point 8.2875°C, relative humidity 79.66666666666667%, wind speed 15.45 km/h, and pressure 1016.3125 hPa. Day: Saturday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-10-25, the mains power consumption was 133.50348106592736 units, television used 4.2015480324074055 units, fan used 0.0 units, fridge used 32.863858633484604 units, and laptop computer used 17.511179571759257 units. Environmental conditions were: temperature 9.908333333333331°C, dew point 7.0625°C, relative humidity 83.58333333333333%, wind speed 7.45 km/h, and pressure 1023.8458333333332 hPa. Day: Sunday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-10-26, the mains power consumption was 104.51336458333336 units, television used 0.0 units, fan used 0.1349525462962963 units, fridge used 30.836969039351807 units, and laptop computer used 7.972357523148143 units. Environmental conditions were: temperature 10.891666666666667°C, dew point 8.483333333333333°C, relative humidity 85.70833333333333%, wind speed 14.85 km/h, and pressure 1019.3916666666668 hPa. Day: Monday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-27, the mains power consumption was 78.52868634259258 units, television used 0.0 units, fan used 0.0469447916666666 units, fridge used 31.84495821759256 units, and laptop computer used 1.155098263888889 units. Environmental conditions were: temperature 11.458333333333334°C, dew point 9.5375°C, relative humidity 88.66666666666667%, wind speed 12.45 km/h, and pressure 1014.1375 hPa. Day: Tuesday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-28, the mains power consumption was 62.7980925925926 units, television used 0.0 units, fan used 0.0 units, fridge used 29.058536053240687 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 10.704166666666667°C, dew point 9.558333333333334°C, relative humidity 92.83333333333331%, wind speed 11.1 km/h, and pressure 1009.925 hPa. Day: Wednesday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-29, the mains power consumption was 61.67778356481482 units, television used 0.0 units, fan used 0.0 units, fridge used 28.04008645833332 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 10.945833333333333°C, dew point 9.725°C, relative humidity 92.70833333333331%, wind speed 11.7 km/h, and pressure 1017.0625 hPa. Day: Thursday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-30, the mains power consumption was 65.9209548611111 units, television used 0.0 units, fan used 0.0 units, fridge used 28.110627600549908 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 10.416666666666666°C, dew point 8.7375°C, relative humidity 89.79166666666667%, wind speed 15.6 km/h, and pressure 1024.2708333333333 hPa. Day: Friday (October), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-10-31, the mains power consumption was 66.18843171296295 units, television used 0.0 units, fan used 0.0 units, fridge used 29.09149722583912 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 9.741666666666667°C, dew point 7.941666666666666°C, relative humidity 89.16666666666667%, wind speed 12.75 km/h, and pressure 1025.375 hPa. Day: Saturday (October), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-01, the mains power consumption was 64.77132523148148 units, television used 0.0 units, fan used 0.0 units, fridge used 27.75543998842589 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 7.329166666666667°C, dew point 7.2875°C, relative humidity 99.70833333333331%, wind speed 5.8 km/h, and pressure 1029.3791666666666 hPa. Day: Sunday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-02, the mains power consumption was 63.66446296296296 units, television used 0.0 units, fan used 0.0 units, fridge used 27.51753402777776 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 8.658333333333333°C, dew point 7.6625°C, relative humidity 94.125%, wind speed 7.35 km/h, and pressure 1025.9375 hPa. Day: Monday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-03, the mains power consumption was 64.96676967592592 units, television used 0.0 units, fan used 0.0 units, fridge used 28.25437413194443 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 9.483333333333333°C, dew point 7.0375°C, relative humidity 85.58333333333333%, wind speed 10.05 km/h, and pressure 1019.5041666666668 hPa. Day: Tuesday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-04, the mains power consumption was 67.16094560185185 units, television used 0.0 units, fan used 0.0 units, fridge used 28.327733387799547 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 12.083333333333334°C, dew point 9.779166666666669°C, relative humidity 86.08333333333333%, wind speed 16.35 km/h, and pressure 1016.0125 hPa. Day: Wednesday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-05, the mains power consumption was 66.87931481481486 units, television used 0.0 units, fan used 0.0 units, fridge used 28.62921232979304 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 13.058333333333334°C, dew point 12.375°C, relative humidity 95.75%, wind speed 17.25 km/h, and pressure 1016.925 hPa. Day: Thursday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-06, the mains power consumption was 64.26130787037036 units, television used 0.0 units, fan used 0.0 units, fridge used 30.132336631944494 units, and laptop computer used 0.0 units. Environmental conditions were: temperature 15.104166666666666°C, dew point 14.145833333333334°C, relative humidity 94.16666666666669%, wind speed 24.9 km/h, and pressure 1016.4375 hPa. Day: Friday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-07, the mains power consumption was 105.82731365740744 units, television used 0.0 units, fan used 0.0489398148148121 units, fridge used 30.76073263888891 units, and laptop computer used 13.21286556712963 units. Environmental conditions were: temperature 16.016666666666666°C, dew point 14.5625°C, relative humidity 91.16666666666669%, wind speed 27.15 km/h, and pressure 1019.6166666666668 hPa. Day: Saturday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-08, the mains power consumption was 143.17489699074076 units, television used 0.0 units, fan used 0.1263537037037035 units, fridge used 34.02336950231484 units, and laptop computer used 15.408296875 units. Environmental conditions were: temperature 12.770833333333334°C, dew point 11.35°C, relative humidity 91.25%, wind speed 18.45 km/h, and pressure 1022.7125 hPa. Day: Sunday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-09, the mains power consumption was 117.37277777777776 units, television used 0.0 units, fan used 0.1210243634259267 units, fridge used 31.936493869474223 units, and laptop computer used 9.402762615740745 units. Environmental conditions were: temperature 13.633333333333333°C, dew point 11.270833333333334°C, relative humidity 85.91666666666667%, wind speed 34.5 km/h, and pressure 1019.2666666666668 hPa. Day: Monday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-10, the mains power consumption was 190.8839814814816 units, television used 0.0 units, fan used 0.1566799768518517 units, fridge used 33.61193697543309 units, and laptop computer used 13.837333854166667 units. Environmental conditions were: temperature 14.670833333333333°C, dew point 13.391666666666667°C, relative humidity 92.04166666666669%, wind speed 36.6 km/h, and pressure 1020.5 hPa. Day: Tuesday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-11, the mains power consumption was 100.23197685185188 units, television used 0.0 units, fan used 0.110121354166667 units, fridge used 33.90508657407408 units, and laptop computer used 8.412178472222223 units. Environmental conditions were: temperature 13.025°C, dew point 11.541666666666666°C, relative humidity 90.75%, wind speed 23.55 km/h, and pressure 1021.3583333333332 hPa. Day: Wednesday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-12, the mains power consumption was 76.22250231481482 units, television used 0.0 units, fan used 0.0820195601851851 units, fridge used 32.51797129629634 units, and laptop computer used 7.530126909722221 units. Environmental conditions were: temperature 13.325°C, dew point 11.108333333333333°C, relative humidity 86.5%, wind speed 19.516666666666666 km/h, and pressure 1022.2125 hPa. Day: Thursday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-13, the mains power consumption was 75.74336460755552 units, television used 0.0 units, fan used 0.047297222222221 units, fridge used 32.50623101851851 units, and laptop computer used 6.477288078703703 units. Environmental conditions were: temperature 11.454166666666667°C, dew point 6.770833333333333°C, relative humidity 73.70833333333333%, wind speed 33.75 km/h, and pressure 1018.5916666666668 hPa. Day: Friday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-14, the mains power consumption was 91.0303275220741 units, television used 0.0 units, fan used 0.0 units, fridge used 27.33800538194447 units, and laptop computer used 9.35630625 units. Environmental conditions were: temperature 9.925°C, dew point 5.9625°C, relative humidity 77.375%, wind speed 34.65 km/h, and pressure 1020.0208333333334 hPa. Day: Saturday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-15, the mains power consumption was 156.36184027777782 units, television used 0.0 units, fan used 0.0 units, fridge used 31.27062719907412 units, and laptop computer used 14.78537991898148 units. Environmental conditions were: temperature 14.308333333333334°C, dew point 12.133333333333333°C, relative humidity 86.875%, wind speed 43.5 km/h, and pressure 1009.0208333333334 hPa. Day: Sunday (November), Time of Day: Night, Is Weekend: True, Holiday: 0.0."
"On 2015-11-16, the mains power consumption was 96.11564236111111 units, television used 0.0 units, fan used 0.1263722800925926 units, fridge used 30.945542824074053 units, and laptop computer used 8.619732581018514 units. Environmental conditions were: temperature 12.6375°C, dew point 10.133333333333333°C, relative humidity 84.91666666666667%, wind speed 29.55 km/h, and pressure 1009.9 hPa. Day: Monday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
"On 2015-11-17, the mains power consumption was 88.92732060185183 units, television used 0.0 units, fan used 0.1038697337962962 units, fridge used 30.226660648148147 units, and laptop computer used 6.492074189814817 units. Environmental conditions were: temperature 13.133333333333333°C, dew point 11.6375°C, relative humidity 90.95833333333331%, wind speed 30.15 km/h, and pressure 1003.0916666666668 hPa. Day: Tuesday (November), Time of Day: Night, Is Weekend: False, Holiday: 0.0."
